id,menu
1701446020-136,mie hompimpa lv 4
1701446020-137,mie gacoan lv 6
1701446020-137,udang rambutan
1701446020-138,mie suit
1701446020-138,udang keju
1701446020-138,lumpia udang
1701446020-138,mie gacoan lv 2
1701446020-138,mie gacoan lv 1
1701446020-138,siomay
1701446020-138,thai tea ori
1701446020-138,thai green tea
1701446020-138,vanilla latte
1701446020-139,siomay
1701446020-139,mie gacoan lv 1
1701446020-140,mie gacoan lv 2
1701446020-140,lumpia udang
1701446020-140,udang keju
1701446020-140,siomay
1701446020-140,mie gacoan lv 0
1701446020-141,mie gacoan lv 1
1701446020-141,udang rambutan
1701446020-141,es teklek
1701446020-142,mie gacoan lv 8
1701446020-142,mie gacoan lv 3
1701446020-142,udang rambutan
1701446020-143,es gobak sodor
1701446020-143,mie gacoan lv 1
1701446020-144,paket gacoan a
1701446020-145,mie gacoan lv 3
1701446020-145,mie gacoan lv 1
1701446020-146,mie gacoan lv 1
1701446020-147,mie gacoan lv 1
1701446020-147,udang rambutan
1701446020-148,mie gacoan lv 1
1701446020-148,udang rambutan
1701446020-149,mie gacoan lv 4
1701446020-149,udang keju
1701446020-150,mie gacoan lv 1
1701446020-150,mie gacoan lv 6
1701446020-150,udang rambutan
1701446020-151,mie hompimpa lv 8
1701446020-151,udang rambutan
1701446020-152,paket gacoan a
1701446020-152,siomay
1701446020-153,mie gacoan lv 2
1701446020-153,udang rambutan
1701446020-153,mie gacoan lv 3
1701446020-154,mie gacoan lv 2
1701446020-154,lumpia udang
1701446020-155,mie suit
1701446020-155,lumpia udang
1701446020-156,mie hompimpa lv 6
1701446020-156,udang rambutan
1701446020-157,mie gacoan lv 2
1701446020-157,mie gacoan lv 4
1701446020-158,mie gacoan lv 2
1701446020-158,udang keju
1701446020-159,mie gacoan lv 0
1701446020-159,udang keju
1701446020-160,mie gacoan lv 0
1701446020-160,udang rambutan
1701446020-161,mie gacoan lv 0
1701446020-161,mie gacoan lv 2
1701446020-161,udang keju
1701446020-161,udang rambutan
1701446020-162,mie gacoan lv 2
1701446020-163,mie hompimpa lv 4
1701446020-163,mie hompimpa lv 1
1701446020-163,udang keju
1701446020-163,thai tea ori
1701446020-163,udang rambutan
1701446020-164,mie gacoan lv 6
1701446020-165,mie gacoan lv 3
1701446020-166,mie gacoan lv 0
1701446020-166,pangsit
1701446020-166,mie gacoan lv 1
1701446020-167,mie gacoan lv 1
1701446020-167,es petak umpet
1701446020-168,mie gacoan lv 1
1701446020-168,udang keju
1701446020-169,mie gacoan lv 0
1701446020-169,mie gacoan lv 3
1701446020-169,udang keju
1701446020-169,siomay
1701446020-169,orange
1701446020-169,teh
1701446020-169,lumpia udang
1701446020-170,mie hompimpa lv 1
1701446020-170,mie hompimpa lv 3
1701446020-170,mie gacoan lv 1
1701446020-171,mie gacoan lv 1
1701446020-171,mie gacoan lv 6
1701446020-171,udang rambutan
1701446020-171,udang keju
1701446020-171,es sluku bathok
1701446020-171,orange
